Number,Name,Type_1,Type_2,HP,Attack,Defense,Speed,Generation,Pr_Male,Height_and_Weight_stats,Body_Style,isLegendary,Black,Blue,Brown,Green,Grey,Pink,Purple,Red,White,Yellow,Special_Move,Special_Move_Power
83,Farfetch'd,Normal,Flying,52,65,55,60,1,0.5,0.79:15,two_wings,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,58
83,,Normal,Flying,52,65,55,60,1,0.5,0.79:15,two_wings,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,62
84,Doduo,Normal,Flying,35,85,45,75,1,0.5,1.4:39.2,head_legs,FALSE,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,Special_Attack,35
84,,Normal,Flying,35,85,45,75,1,0.5,1.4:39.2,head_legs,FALSE,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,Special_Defense,35
85,Dodrio,Normal,Flying,60,110,70,100,1,0.5,1.8:85.2,head_legs,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,60
85,,Normal,Flying,60,110,70,100,1,0.5,1.8:85.2,head_legs,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,60
86,Seel,Water,NA,65,45,55,45,1,0.5,1.09:90,with_fins,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,Special_Attack,45
86,,Water,NA,65,45,55,45,1,0.5,1.09:90,with_fins,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,190,NA,Special_Defense,70
87,Dewgong,Water,Ice,90,70,80,70,1,0.5,1.7:120,with_fins,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,Special_Attack,70
87,,Water,Ice,90,70,80,70,1,0.5,1.7:120,with_fins,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,Special_Defense,95
88,Grimer,Poison,NA,80,80,50,25,1,0.5,0.89:30,head_arms,FALSE,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,Special_Attack,40
88,,Poison,NA,80,80,50,25,1,0.5,0.89:30,head_arms,FALSE,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,Special_Defense,50
89,Muk,Poison,NA,105,105,75,50,1,0.5,1.19:30,head_arms,FALSE,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,Special_Attack,65
89,,Poison,NA,105,105,75,50,1,0.5,1.19:30,head_arms,FALSE,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,Special_Defense,100
90,Shellder,Water,NA,30,65,100,40,1,0.5,0.3:4,head_only,FALSE,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,Special_Attack,45
90,,Water,NA,30,65,100,40,1,0.5,0.3:4,head_only,FALSE,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,Special_Defense,25
91,Cloyster,Water,Ice,50,95,180,70,1,0.5,1.5:132.5,head_only,FALSE,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,Special_Attack,85
91,,Water,Ice,50,95,180,70,1,0.5,1.5:132.5,head_only,FALSE,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,Special_Defense,45
92,Gastly,Ghost,Poison,30,35,30,80,1,0.5,1.3:0.1,head_only,FALSE,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,Special_Attack,100
92,,Ghost,Poison,30,35,30,80,1,0.5,1.3:0.1,head_only,FALSE,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,Special_Defense,35
93,Haunter,Ghost,Poison,45,50,45,95,1,0.5,1.6:0.1,head_arms,FALSE,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,Special_Attack,115
93,,Ghost,Poison,45,50,45,95,1,0.5,1.6:0.1,head_arms,FALSE,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,Special_Defense,55
94,Gengar,Ghost,Poison,60,65,60,110,1,0.5,1.5:40.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,Special_Attack,130
94,,Ghost,Poison,60,65,60,110,1,0.5,1.5:40.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,Special_Defense,75
95,Onix,Rock,Ground,35,45,160,70,1,0.5,8.79:210,serpentine_body,FALSE,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,Special_Attack,30
95,,Rock,Ground,35,45,160,70,1,0.5,8.79:210,serpentine_body,FALSE,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,Special_Defense,45
96,Drowzee,Psychic,NA,60,48,45,42,1,0.5,0.99:32.4,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,Special_Attack,43
96,,Psychic,NA,60,48,45,42,1,0.5,0.99:32.4,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,Special_Defense,90
97,Hypno,Psychic,NA,85,73,70,67,1,0.5,1.6:75.6,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,Special_Attack,73
97,,Psychic,NA,85,73,70,67,1,0.5,1.6:75.6,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,Special_Defense,115
98,Krabby,Water,NA,30,105,90,50,1,0.5,0.41:6.5,insectoid,FALSE,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,Special_Attack,25
98,,Water,NA,30,105,90,50,1,0.5,0.41:6.5,insectoid,FALSE,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,Special_Defense,25
99,Kingler,Water,NA,55,130,115,75,1,0.5,1.3:60,insectoid,FALSE,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,Special_Attack,50
99,,Water,NA,55,130,115,75,1,0.5,1.3:60,insectoid,FALSE,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,Special_Defense,50
100,Voltorb,Electric,NA,40,30,50,100,1,NA,0.51:10.4,head_only,FALSE,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,Special_Attack,55
100,,Electric,NA,40,30,50,100,1,NA,0.51:10.4,head_only,FALSE,NA,NA,NA,NA,NA,NA,NA,190,NA,NA,Special_Defense,55
101,Electrode,Electric,NA,60,50,70,140,1,NA,1.19:66.6,head_only,FALSE,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,Special_Attack,80
101,,Electric,NA,60,50,70,140,1,NA,1.19:66.6,head_only,FALSE,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,Special_Defense,80
102,Exeggcute,Grass,Psychic,60,40,80,40,1,0.5,0.41:2.5,multiple_bodies,FALSE,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,Special_Attack,60
102,,Grass,Psychic,60,40,80,40,1,0.5,0.41:2.5,multiple_bodies,FALSE,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,Special_Defense,45
103,Exeggutor,Grass,Psychic,95,95,85,55,1,0.5,2.01:120,head_legs,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Attack,125
103,,Grass,Psychic,95,95,85,55,1,0.5,2.01:120,head_legs,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Defense,65
104,Cubone,Ground,NA,50,50,95,35,1,0.5,0.41:6.5,bipedal_tailed,FALSE,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,Special_Attack,40
104,,Ground,NA,50,50,95,35,1,0.5,0.41:6.5,bipedal_tailed,FALSE,NA,NA,190,NA,NA,NA,NA,NA,NA,NA,Special_Defense,50
105,Marowak,Ground,NA,60,80,110,45,1,0.5,0.99:45,bipedal_tailed,FALSE,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,Special_Attack,50
105,,Ground,NA,60,80,110,45,1,0.5,0.99:45,bipedal_tailed,FALSE,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,Special_Defense,80
106,Hitmonlee,Fighting,NA,50,120,53,87,1,1,1.5:49.8,bipedal_tailless,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,35
106,,Fighting,NA,50,120,53,87,1,1,1.5:49.8,bipedal_tailless,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,110
107,Hitmonchan,Fighting,NA,50,105,79,76,1,1,1.4:50.2,bipedal_tailless,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,35
107,,Fighting,NA,50,105,79,76,1,1,1.4:50.2,bipedal_tailless,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,110
108,Lickitung,Normal,NA,90,55,75,30,1,0.5,1.19:65.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,Special_Attack,60
108,,Normal,NA,90,55,75,30,1,0.5,1.19:65.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,Special_Defense,75
109,Koffing,Poison,NA,40,65,95,35,1,0.5,0.61:1,head_only,FALSE,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,Special_Attack,60
109,,Poison,NA,40,65,95,35,1,0.5,0.61:1,head_only,FALSE,NA,NA,NA,NA,NA,NA,190,NA,NA,NA,Special_Defense,45
110,Weezing,Poison,NA,65,90,120,60,1,0.5,1.19:9.5,multiple_bodies,FALSE,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,Special_Attack,85
110,,Poison,NA,65,90,120,60,1,0.5,1.19:9.5,multiple_bodies,FALSE,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,Special_Defense,70
111,Rhyhorn,Ground,Rock,80,85,95,25,1,0.5,0.99:115,quadruped,FALSE,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,Special_Attack,30
111,,Ground,Rock,80,85,95,25,1,0.5,0.99:115,quadruped,FALSE,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,Special_Defense,30
112,Rhydon,Ground,Rock,105,130,120,40,1,0.5,1.91:120,bipedal_tailed,FALSE,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,Special_Attack,45
112,,Ground,Rock,105,130,120,40,1,0.5,1.91:120,bipedal_tailed,FALSE,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,Special_Defense,45
113,Chansey,Normal,NA,250,5,5,50,1,0,1.09:34.6,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,Special_Attack,35
113,,Normal,NA,250,5,5,50,1,0,1.09:34.6,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,Special_Defense,105
114,Tangela,Grass,NA,65,55,115,60,1,0.5,0.99:35,head_legs,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,100
114,,Grass,NA,65,55,115,60,1,0.5,0.99:35,head_legs,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,40
115,Kangaskhan,Normal,NA,105,95,80,90,1,0,2.21:80,bipedal_tailed,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,40
115,,Normal,NA,105,95,80,90,1,0,2.21:80,bipedal_tailed,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,80
116,Horsea,Water,NA,30,40,70,60,1,0.5,0.41:8,head_base,FALSE,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,70
116,,Water,NA,30,40,70,60,1,0.5,0.41:8,head_base,FALSE,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,25
117,Seadra,Water,NA,55,65,95,85,1,0.5,1.19:25,head_base,FALSE,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,95
117,,Water,NA,55,65,95,85,1,0.5,1.19:25,head_base,FALSE,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,45
118,Goldeen,Water,NA,45,67,60,63,1,0.5,0.61:15,with_fins,FALSE,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,Special_Attack,35
118,,Water,NA,45,67,60,63,1,0.5,0.61:15,with_fins,FALSE,NA,NA,NA,NA,NA,NA,NA,225,NA,NA,Special_Defense,50
119,Seaking,Water,NA,80,92,65,68,1,0.5,1.3:39,with_fins,FALSE,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,Special_Attack,65
119,,Water,NA,80,92,65,68,1,0.5,1.3:39,with_fins,FALSE,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,Special_Defense,80
120,Staryu,Water,NA,30,45,55,85,1,NA,0.79:34.5,head_base,FALSE,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,Special_Attack,70
120,,Water,NA,30,45,55,85,1,NA,0.79:34.5,head_base,FALSE,NA,NA,225,NA,NA,NA,NA,NA,NA,NA,Special_Defense,55
121,Starmie,Water,Psychic,60,75,85,115,1,NA,1.09:80,head_base,FALSE,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,Special_Attack,100
121,,Water,Psychic,60,75,85,115,1,NA,1.09:80,head_base,FALSE,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,Special_Defense,85
122,Mr._Mime,Psychic,Fairy,40,45,65,90,1,0.5,1.3:54.5,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,Special_Attack,100
122,,Psychic,Fairy,40,45,65,90,1,0.5,1.3:54.5,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,Special_Defense,120
123,Scyther,Bug,Flying,70,110,80,105,1,0.5,1.5:56,four_wings,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Attack,55
123,,Bug,Flying,70,110,80,105,1,0.5,1.5:56,four_wings,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Defense,80
124,Jynx,Ice,Psychic,65,50,35,95,1,0,1.4:40.6,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Attack,115
124,,Ice,Psychic,65,50,35,95,1,0,1.4:40.6,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Defense,95
125,Electabuzz,Electric,NA,65,83,57,105,1,0.75,1.09:30,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Attack,95
125,,Electric,NA,65,83,57,105,1,0.75,1.09:30,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Defense,85
126,Magmar,Fire,NA,65,95,57,93,1,0.75,1.3:44.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Attack,100
126,,Fire,NA,65,95,57,93,1,0.75,1.3:44.5,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Defense,85
127,Pinsir,Bug,NA,65,125,100,85,1,0.5,1.5:55,bipedal_tailless,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,55
127,,Bug,NA,65,125,100,85,1,0.5,1.5:55,bipedal_tailless,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,70
128,Tauros,Normal,NA,75,100,95,110,1,1,1.4:88.4,quadruped,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,40
128,,Normal,NA,75,100,95,110,1,1,1.4:88.4,quadruped,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,70
129,Magikarp,Water,NA,20,10,55,80,1,0.5,0.89:10,with_fins,FALSE,NA,NA,NA,NA,NA,NA,NA,255,NA,NA,Special_Attack,15
129,,Water,NA,20,10,55,80,1,0.5,0.89:10,with_fins,FALSE,NA,NA,NA,NA,NA,NA,NA,255,NA,NA,Special_Defense,20
130,Gyarados,Water,Flying,95,125,79,81,1,0.5,6.5:235,serpentine_body,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,60
130,,Water,Flying,95,125,79,81,1,0.5,6.5:235,serpentine_body,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,100
131,Lapras,Water,Ice,130,85,80,60,1,0.5,2.49:220,with_fins,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,85
131,,Water,Ice,130,85,80,60,1,0.5,2.49:220,with_fins,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,95
132,Ditto,Normal,NA,48,48,48,48,1,NA,0.3:4,head_only,FALSE,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,Special_Attack,48
132,,Normal,NA,48,48,48,48,1,NA,0.3:4,head_only,FALSE,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,Special_Defense,48
133,Eevee,Normal,NA,55,55,50,55,1,0.875,0.3:6.5,quadruped,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,45
133,,Normal,NA,55,55,50,55,1,0.875,0.3:6.5,quadruped,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,65
134,Vaporeon,Water,NA,130,65,60,65,1,0.875,0.99:29,quadruped,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,110
134,,Water,NA,130,65,60,65,1,0.875,0.99:29,quadruped,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,95
135,Jolteon,Electric,NA,65,65,60,130,1,0.875,0.79:24.5,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Attack,110
135,,Electric,NA,65,65,60,130,1,0.875,0.79:24.5,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Defense,95
136,Flareon,Fire,NA,65,130,60,65,1,0.875,0.89:25,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Attack,95
136,,Fire,NA,65,130,60,65,1,0.875,0.89:25,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,Special_Defense,110
137,Porygon,Normal,NA,65,60,70,40,1,NA,0.79:36.5,head_legs,FALSE,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,Special_Attack,85
137,,Normal,NA,65,60,70,40,1,NA,0.79:36.5,head_legs,FALSE,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,Special_Defense,75
138,Omanyte,Rock,Water,35,40,100,35,1,0.875,0.41:7.5,several_limbs,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,90
138,,Rock,Water,35,40,100,35,1,0.875,0.41:7.5,several_limbs,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,55
139,Omastar,Rock,Water,70,60,125,55,1,0.875,0.99:35,several_limbs,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,115
139,,Rock,Water,70,60,125,55,1,0.875,0.99:35,several_limbs,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,70
140,Kabuto,Rock,Water,30,80,90,55,1,0.875,0.51:11.5,insectoid,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,55
140,,Rock,Water,30,80,90,55,1,0.875,0.51:11.5,insectoid,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,45
141,Kabutops,Rock,Water,60,115,105,80,1,0.875,1.3:40.5,bipedal_tailed,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,65
141,,Rock,Water,60,115,105,80,1,0.875,1.3:40.5,bipedal_tailed,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,70
142,Aerodactyl,Rock,Flying,80,105,65,130,1,0.875,1.8:59,two_wings,FALSE,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,Special_Attack,60
142,,Rock,Flying,80,105,65,130,1,0.875,1.8:59,two_wings,FALSE,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,Special_Defense,75
143,Snorlax,Normal,NA,160,110,65,30,1,0.875,2.11:460,bipedal_tailless,FALSE,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,65
143,,Normal,NA,160,110,65,30,1,0.875,2.11:460,bipedal_tailless,FALSE,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,110
144,Articuno,Ice,Flying,90,85,100,85,1,NA,1.7:55.4,two_wings,TRUE,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,95
144,,Ice,Flying,90,85,100,85,1,NA,1.7:55.4,two_wings,TRUE,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,125
145,Zapdos,Electric,Flying,90,90,85,100,1,NA,1.6:52.6,two_wings,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Special_Attack,125
145,,Electric,Flying,90,90,85,100,1,NA,1.6:52.6,two_wings,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Special_Defense,90
146,Moltres,Fire,Flying,90,100,90,90,1,NA,2.01:60,two_wings,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Special_Attack,125
146,,Fire,Flying,90,100,90,90,1,NA,2.01:60,two_wings,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Special_Defense,85
147,Dratini,Dragon,NA,41,64,45,50,1,0.5,1.8:3.3,serpentine_body,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,50
147,,Dragon,NA,41,64,45,50,1,0.5,1.8:3.3,serpentine_body,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,50
148,Dragonair,Dragon,NA,61,84,65,70,1,0.5,3.99:16.5,serpentine_body,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,70
148,,Dragon,NA,61,84,65,70,1,0.5,3.99:16.5,serpentine_body,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,70
149,Dragonite,Dragon,Flying,91,134,95,80,1,0.5,2.21:210,bipedal_tailed,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Attack,100
149,,Dragon,Flying,91,134,95,80,1,0.5,2.21:210,bipedal_tailed,FALSE,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,Special_Defense,100
150,Mewtwo,Psychic,NA,106,110,90,130,1,NA,2.01:122,bipedal_tailed,TRUE,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Special_Attack,154
150,,Psychic,NA,106,110,90,130,1,NA,2.01:122,bipedal_tailed,TRUE,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,Special_Defense,90
151,Mew,Psychic,NA,100,100,100,100,1,NA,0.41:4,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,Special_Attack,100
151,,Psychic,NA,100,100,100,100,1,NA,0.41:4,bipedal_tailed,FALSE,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,Special_Defense,100
152,Chikorita,Grass,NA,45,49,65,45,2,0.875,0.89:6.4,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Attack,49
152,,Grass,NA,45,49,65,45,2,0.875,0.89:6.4,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Defense,65
153,Bayleef,Grass,NA,60,62,80,60,2,0.875,1.19:15.8,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Attack,63
153,,Grass,NA,60,62,80,60,2,0.875,1.19:15.8,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Defense,80
154,Meganium,Grass,NA,80,82,100,80,2,0.875,1.8:100.5,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Attack,83
154,,Grass,NA,80,82,100,80,2,0.875,1.8:100.5,quadruped,FALSE,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,Special_Defense,100
155,Cyndaquil,Fire,NA,39,52,43,65,2,0.875,0.51:7.9,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Attack,60
155,,Fire,NA,39,52,43,65,2,0.875,0.51:7.9,bipedal_tailless,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Defense,50
156,Quilava,Fire,NA,58,64,58,80,2,0.875,0.89:19,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Attack,80
156,,Fire,NA,58,64,58,80,2,0.875,0.89:19,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Defense,65
157,Typhlosion,Fire,NA,78,84,78,100,2,0.875,1.7:79.5,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Attack,109
157,,Fire,NA,78,84,78,100,2,0.875,1.7:79.5,quadruped,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,Special_Defense,85
158,Totodile,Water,NA,50,65,64,43,2,0.875,0.61:9.5,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,44
158,,Water,NA,50,65,64,43,2,0.875,0.61:9.5,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,48
159,Croconaw,Water,NA,65,80,80,58,2,0.875,1.09:25,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,59
159,,Water,NA,65,80,80,58,2,0.875,1.09:25,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,63
160,Feraligatr,Water,NA,85,105,100,78,2,0.875,2.31:88.8,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Attack,79
160,,Water,NA,85,105,100,78,2,0.875,2.31:88.8,bipedal_tailed,FALSE,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,Special_Defense,83
161,Sentret,Normal,NA,35,46,34,20,2,0.5,0.79:6,quadruped,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Attack,35
161,,Normal,NA,35,46,34,20,2,0.5,0.79:6,quadruped,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Defense,45
162,Furret,Normal,NA,85,76,64,90,2,0.5,1.8:32.5,quadruped,FALSE,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,Special_Attack,45
162,,Normal,NA,85,76,64,90,2,0.5,1.8:32.5,quadruped,FALSE,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,Special_Defense,55
163,Hoothoot,Normal,Flying,60,30,30,50,2,0.5,0.71:21.2,two_wings,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Attack,36
163,,Normal,Flying,60,30,30,50,2,0.5,0.71:21.2,two_wings,FALSE,NA,NA,255,NA,NA,NA,NA,NA,NA,NA,Special_Defense,56
164,Noctowl,Normal,Flying,100,50,50,70,2,0.5,1.6:40.8,two_wings,FALSE,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,Special_Attack,76
164,,Normal,Flying,100,50,50,70,2,0.5,1.6:40.8,two_wings,FALSE,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,Special_Defense,96
165,Ledyba,Bug,Flying,40,20,30,55,2,0.5,0.99:10.8,two_wings,FALSE,NA,NA,NA,NA,NA,NA,NA,255,NA,NA,Special_Attack,40
165,,Bug,Flying,40,20,30,55,2,0.5,0.99:10.8,two_wings,FALSE,NA,NA,NA,NA,NA,NA,NA,255,NA,NA,Special_Defense,80
166,Ledian,Bug,Flying,55,35,50,85,2,0.5,1.4:35.6,two_wings,FALSE,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,Special_Attack,55
