Animal.Number,Treatment.Group,Dose.Group,A_43_P14555,A_43_P22290,A_43_P20792,A_43_P21286,A_43_P12995,A_43_P15834,A_43_P12356,A_42_P564516,A_43_P22018,A_43_P21075,A_43_P23125,A_43_P17653,A_43_P18129,A_43_P16337,A_43_P22160,A_43_P23348,A_43_P22354,A_43_P16280,A_43_P13097,A_42_P673861,A_42_P587156,A_43_P21732,A_43_P20580,A_43_P12101,A_43_P18264,A_43_P17356,A_43_P18207,A_43_P13289,A_42_P687001,A_43_P15774,A_43_P16520,A_43_P21890,A_43_P19977,A_43_P19997,A_43_P19419,A_43_P16531,A_42_P649672,A_43_P18498,A_42_P612939,A_43_P15812,A_43_P13453,A_42_P516561,A_43_P18065,A_43_P20491,A_43_P10565,A_43_P19861,A_43_P10084,A_42_P674812,A_43_P12454
423,1500MG/K48 HR,1500,-0.0189,-0.0431,-0.02115,0.01433,-0.01408,-0.09118,0.01793,0.04652,0.0519,0.01762,0.00146,0.02153,0.04635,0.20951,0.04208,0.0901,0.02591,0.03156,0.02196,0.22344,0.04244,0.129,0.04212,0.0525,-0.00941,-0.01616,0.00229,0.0235,-0.01457,0.00902,0.04829,0.00864,0.01617,-0.06451,-0.02507,-0.02501,-0.03235,-0.01002,-0.014,0.0028,-0.03737,0.04477,0.04685,-0.03975,-0.03116,0.02506,-0.00648,-0.01744,-0.01751
424,1500MG/K48 HR,1500,-0.06662,-0.1166,0.00609,-0.02503,0.02899,-0.04049,-0.02139,0.02138,0.05732,-0.05113,0.02196,-0.03043,-0.0314,0.01344,-0.01345,-0.04045,0.09475,0.04973,0.04658,0.23089,0.14425,0.09944,0.23935,0.17352,0.18541,0.02072,0.07598,0.07295,0.04694,0.19328,0.14103,0.06961,0.12356,0.17632,0.0726,0.08689,0.04126,0.05261,0.04062,0.04997,-0.11651,0.16294,0.13465,0.15884,0.31193,0.21041,0.03011,0.00935,0.07256
501,2000MG/K6 HR,2000,-0.04861,-0.07877,-0.00662,-0.1245,0.07174,-0.04297,-0.0333,0.02318,-0.20335,-0.03653,-0.06222,0.02523,0.02915,-0.07837,-0.08618,-0.07724,-0.09632,-0.01444,-0.11801,0.04822,-0.03896,-0.17189,0.09841,0.06212,0.02705,0.0709,0.06582,0.04892,0.03866,0.0526,0.11694,0.04139,0.09647,0.18384,0.09144,0.08762,0.04903,0.06034,0.04912,0.0627,0.10466,0.03212,0.00676,-0.03482,0.04516,-0.00688,0.03858,0.09551,0.05939
503,2000MG/K6 HR,2000,-0.08177,0.08529,0.0351,0.08759,0.06802,0.03688,0.01979,-0.00422,0.05094,0.09856,-0.01623,0.02909,-0.02622,0.4716,0.04031,0.1891,-0.14392,0.00215,-0.06681,-0.09896,-0.39285,-0.14372,0.05094,0.04451,0.04174,0.01083,0.04565,0.05587,0.04713,0.1372,0.04995,0.03125,0.13651,0.08243,0.07905,0.07088,0.0654,0.06618,0.03565,0.04636,0.00413,0.04306,0.00282,0.05609,0.17464,0.0802,0.03467,0.02813,0.0485
505,2000MG/K18 HR,2000,-0.0269,-0.05522,-0.01283,0.05909,-0.09473,-0.09246,-0.07898,-0.04156,-0.06902,-0.00293,-0.05014,-0.05124,-0.01521,0.05956,0.02076,0.00999,-0.00345,-0.01181,0.05935,-0.0041,0.03063,0.08249,-0.04771,-0.0893,-0.13052,-0.12845,-0.0728,-0.01805,-0.09884,-0.12585,-0.12788,-0.05043,-0.12453,-0.14064,-0.09768,-0.1021,-0.0753,-0.13716,-0.10243,-0.09979,-0.11796,-0.07486,-0.09155,-0.08583,-0.09914,-0.17903,-0.00605,-0.0106,-0.08844
506,2000MG/K18 HR,2000,-0.11566,-0.03267,-0.00337,-0.01898,-0.23783,-0.10482,-0.00915,-0.05006,-0.34582,-0.06574,-0.09527,-0.05616,-0.02177,-0.1138,-0.01776,-0.12316,-0.00721,-0.02205,0.01968,0.13497,0.23921,-0.06106,-0.1801,-0.26734,-0.18074,-0.3706,-0.2977,-0.23055,-0.262,-0.37488,-0.21752,-0.09746,-0.27142,-0.26266,-0.21012,-0.25837,-0.01619,-0.23878,-0.28058,-0.16433,-0.41685,-0.14875,-0.03847,-0.42462,-0.46256,-0.47005,-0.11225,-0.10591,-0.03709
508,2000MG/K24 HR,2000,-0.0653,0.02072,0.02059,-0.0379,-0.09858,-0.05444,0.05117,0.04984,-0.04918,-0.0265,-0.0023,0.01477,0.09142,0.08653,0.01833,0.05321,0.0516,0.00246,0.03151,0.00239,0.06492,0.01813,0.04145,-0.0317,0.00681,-0.02549,0.07121,0.07063,0.00245,-0.03016,0.01146,-0.00919,0.04589,-0.0115,0.01704,-0.02563,-0.04491,-0.04832,-0.02206,-0.03862,-0.02374,0.03102,0.01358,-0.00874,-0.04446,-0.01706,-0.00196,0.0253,-0.00559
509,2000MG/K24 HR,2000,-0.12128,0.03296,0.00457,-0.11009,-0.11734,-0.10979,0.09656,0.06445,0.35258,-0.01591,0.01545,0.02983,0.22803,0.03628,0.07066,0.15067,-0.04248,-0.00302,-0.01315,-0.11559,-0.10838,0.04529,0.09662,0.03954,0.02419,0.02784,0.07883,0.05827,0.04552,0.08515,0.19346,0.03935,0.05358,0.26701,0.10402,0.01878,-0.00619,0.01183,-0.00384,0.00957,0.00192,0.0269,0.14321,0.03407,0.1104,0.06105,0.02832,0.06968,0.0199
510,2000MG/K48 HR,2000,-0.09127,-0.11885,-0.02729,0.02555,-0.14945,8.50E-04,-0.0612,0.01288,0.00235,-0.06882,-0.06588,-0.04739,-0.03602,0.02448,-0.06886,0.06894,-0.00412,-0.05386,-0.02301,0.07046,0.00846,0.05051,-0.10126,-0.08287,-0.10492,-0.07176,-0.05589,-0.05043,-0.05593,-0.05935,-0.09194,-0.0513,-0.05871,0.01345,-0.07183,-0.07218,-0.08604,-0.10912,-0.06544,-0.07446,-0.08189,-0.0898,-0.00882,-0.09854,-0.07771,-0.07881,-0.05179,-0.07403,-0.07415
512,2000MG/K48 HR,2000,-0.15846,-0.12823,-0.01915,-0.06016,-0.16637,-0.02166,-0.15395,-0.11604,-0.28462,-0.04752,-0.01254,-0.10253,-0.06733,-0.10956,-0.05975,-0.05699,-0.05936,-0.08481,-0.0564,-0.06354,-0.03094,-0.00785,-0.0134,-0.08598,-0.04338,-0.0485,-0.06773,-0.01996,-0.02476,-0.13039,-0.00745,-0.04874,-0.12214,-0.16562,-0.07806,-0.05779,-0.03547,-0.05765,-0.03767,-0.05633,-0.09274,0.00276,0.00377,-0.07394,-0.07985,-0.04732,-0.0444,-0.03677,-0.0156
513,2000MG/K6 HR,2000,-0.08759,-0.02257,0.02673,-0.01918,0.02463,0.04345,-0.06038,-0.02214,-0.01347,-0.03553,0.01223,-0.00454,-0.0723,0.18404,0.04101,-0.032,-0.00197,-0.02683,-0.05423,-0.0973,-0.02106,-0.05789,0.02559,-0.04955,-0.02065,-0.0717,-0.0893,-0.05761,-0.00677,0.03181,0.00512,-0.01159,-0.04855,0.02936,0.02625,8.00E-04,0.01108,0.03596,-0.01618,-0.04592,-0.05668,-0.00967,0.02426,-0.05467,-0.04889,-0.03473,-0.00224,-0.01835,0.05787
514,2000MG/K6 HR,2000,0.07446,0.18938,0.00205,0.02565,-0.03867,0.05028,0.07581,-0.02285,0.08641,0.06429,-0.01772,0.01618,-0.02226,0.12339,0.04926,-0.06037,0.05217,0.00983,-0.05817,-0.02519,-0.02362,0.00256,0.02956,0.01764,-0.02853,0.00661,-0.0697,-2.20E-04,-0.03586,-0.05118,-0.07288,0.01158,0.04044,-0.0763,-0.034,-0.00818,0.013,-0.00279,0.00892,-0.01565,0.01916,-0.00772,-0.05601,-0.05948,0.02002,0.00637,0.00796,-0.0247,-0.02712
516,2000MG/K18 HR,2000,-0.17789,-0.13262,-0.06051,0.10085,-0.12893,-0.08275,-0.06512,0.11978,-0.0713,0.03706,-0.13404,-0.03692,-0.10419,-0.11953,-0.07928,-0.03511,-0.12997,0.02573,0.04875,0.05474,0.06698,0.07852,0.043,-0.09977,-0.02292,-0.01315,-0.11603,0.04547,-0.04362,-0.06888,-0.0233,-0.03841,-0.07475,-0.19027,-0.02464,-0.07489,-0.07641,-0.06545,-0.09568,-0.08976,-0.0797,-0.01579,-0.02622,-0.03933,-0.41391,-0.07394,0.01438,0.08597,-0.02547
518,2000MG/K18 HR,2000,-0.01012,0.06195,0.00582,-0.00409,0.03286,0.08214,-0.01309,0.07736,0.22619,0.03496,0.01417,0.07777,0.02007,-0.07954,0.08156,-0.03226,0.03401,0.09122,0.02228,0.05917,0.06586,-0.01264,0.00515,0.04972,0.12274,0.0329,0.0658,0.06778,0.07055,0.08954,0.14676,0.03905,0.04876,0.10656,-0.01681,0.08401,0.02055,0.00882,0.08924,-0.024,0.13774,0.14689,0.12473,0.07536,0.2132,0.22253,0.00649,0.09242,0.14003
520,2000MG/K24 HR,2000,0.01057,-0.03958,0.02299,9.00E-05,-0.00353,0.01296,0.0898,0.06674,0.13432,0.05288,0.03903,0.00649,0.00909,0.02183,0.06757,0.12875,0.04936,0.01778,-0.02251,-0.03521,0.12729,0.05945,-0.00971,0.01859,0.0381,0.00888,0.07784,0.03534,0.03604,0.03584,0.05845,0.05633,0.0647,-0.01586,0.03653,0.0529,0.03781,0.09016,0.0071,0.07955,0.06318,0.01531,0.06115,0.04701,0.05534,0.17333,0.01267,0.02867,0.01111
521,2000MG/K24 HR,2000,0.02216,0.09487,0.07719,0.47219,0.12406,0.09568,0.22085,0.02198,0.3903,0.02883,0.08272,0.01899,0.21248,0.45322,0.13737,0.25147,0.05354,0.08006,0.10178,0.27706,0.2756,0.1452,0.14938,0.10776,0.07214,0.08875,0.21011,0.10118,0.06103,0.20115,0.14479,0.06075,0.17526,0.22016,0.1666,-0.01834,0.03345,0.03849,0.02098,0.00381,0.04076,0.06317,0.09083,-0.09026,0.04658,0.3049,0.09498,0.17949,0.01165
522,2000MG/K48 HR,2000,-0.08288,-0.05658,0.02615,-0.05894,-0.029,0.01615,-0.01367,-0.05139,-0.03404,-0.01179,-0.01512,0.01266,0.01634,0.07692,0.02536,-0.00677,-0.05764,-0.00217,-0.09852,0.05922,0.19711,0.00631,-0.01193,-0.06087,-0.06189,0.04424,0.02028,0.01976,-0.03964,-0.03553,-0.03273,-0.02486,0.01913,-0.05298,0.01841,-0.0295,-0.0289,0.01217,7.50E-04,-0.04277,-0.06625,-4.60E-04,0.02992,-0.11414,-0.0124,-0.0727,-0.01871,0.01344,3.70E-04
524,2000MG/K48 HR,2000,-0.14238,-0.08637,-0.09984,-0.04465,-0.09704,0.03391,0.0312,-0.01404,-0.06248,-0.03609,-0.02354,-0.12158,-0.09535,-0.04027,0.01205,-0.03932,-0.00491,-0.04602,-0.03203,0.01892,0.09623,-0.0658,-0.02395,-0.10107,-0.07695,-0.05031,-0.10484,-0.06712,-0.09163,-0.09199,-0.12421,-0.0836,-0.09064,-0.11493,-0.11986,-0.09254,-0.06805,-0.09252,-0.10153,-0.07887,-0.10873,-0.06717,-0.03638,-0.0542,-0.1052,-0.01713,-0.12134,-0.03099,-0.06781
